gw1n2b-025,GW1N-UV2CS72C5/I4,GW1N,GW1N-2B,WLCSP72,GW1N-2B/WLCSP72.json
gw1n2b-026,GW1N-UV2LQ100C6/I5,GW1N,GW1N-2B,LQFP100,GW1N-2B/LQFP100.json
gw1n2b-027,GW1N-UV2LQ100C5/I4,GW1N,GW1N-2B,LQFP100,GW1N-2B/LQFP100.json
gw1n2b-028,GW1N-UV2LQ144C6/I5,GW1N,GW1N-2B,LQFP144,GW1N-2B/LQFP144.json
gw1n2b-029,GW1N-UV2LQ144C5/I4,GW1N,GW1N-2B,LQFP144,GW1N-2B/LQFP144.json
gw1n2b-030,GW1N-UV2MG160C6/I5,GW1N,GW1N-2B,MBGA160,GW1N-2B/MBGA160.json
gw1n2b-031,GW1N-UV2MG160C5/I4,GW1N,GW1N-2B,MBGA160,GW1N-2B/MBGA160.json
gw1n2b-032,GW1N-UV2PG256C6/I5,GW1N,GW1N-2B,PBGA256,GW1N-2B/PBGA256.json
gw1n2b-033,GW1N-UV2PG256C5/I4,GW1N,GW1N-2B,PBGA256,GW1N-2B/PBGA256.json
gw1n2b-034,GW1N-UV2PG256MC6/I5,GW1N,GW1N-2B,PBGA256M,GW1N-2B/PBGA256M.json
gw1n2b-035,GW1N-UV2PG256MC5/I4,GW1N,GW1N-2B,PBGA256M,GW1N-2B/PBGA256M.json
gw1n2b-036,GW1N-LV2QN88A4,GW1N,GW1N-2B,QFN88,GW1N-2B/QFN88.json
gw1n2b-037,GW1N-UV2QN88A4,GW1N,GW1N-2B,QFN88,GW1N-2B/QFN88.json
gw1n4-000,GW1N-LV4QN32C6/I5,GW1N,GW1N-4,QFN32,GW1N-4/QFN32.json
gw1n4-001,GW1N-LV4QN32C5/I4,GW1N,GW1N-4,QFN32,GW1N-4/QFN32.json
gw1n4-002,GW1N-LV4QN48C6/I5,GW1N,GW1N-4,QFN48,GW1N-4/QFN48.json
gw1n4-003,GW1N-LV4QN48C5/I4,GW1N,GW1N-4,QFN48,GW1N-4/QFN48.json
gw1n4-004,GW1N-LV4QN88C6/I5,GW1N,GW1N-4,QFN88,GW1N-4/QFN88.json
gw1n4-005,GW1N-LV4QN88C5/I4,GW1N,GW1N-4,QFN88,GW1N-4/QFN88.json
gw1n4-006,GW1N-LV4QN88A4,GW1N,GW1N-4,QFN88,GW1N-4/QFN88.json
gw1n4-007,GW1N-LV4CS72C6/I5,GW1N,GW1N-4,WLCSP72,GW1N-4/WLCSP72.json
gw1n4-008,GW1N-LV4CS72C5/I4,GW1N,GW1N-4,WLCSP72,GW1N-4/WLCSP72.json
gw1n4-009,GW1N-LV4LQ100C6/I5,GW1N,GW1N-4,LQFP100,GW1N-4/LQFP100.json
gw1n4-010,GW1N-LV4LQ100C5/I4,GW1N,GW1N-4,LQFP100,GW1N-4/LQFP100.json
gw1n4-011,GW1N-LV4LQ144C6/I5,GW1N,GW1N-4,LQFP144,GW1N-4/LQFP144.json
gw1n4-012,GW1N-LV4LQ144C5/I4,GW1N,GW1N-4,LQFP144,GW1N-4/LQFP144.json
gw1n4-013,GW1N-LV4MG160C6/I5,GW1N,GW1N-4,MBGA160,GW1N-4/MBGA160.json
gw1n4-014,GW1N-LV4MG160C5/I4,GW1N,GW1N-4,MBGA160,GW1N-4/MBGA160.json
gw1n4-015,GW1N-LV4PG256C6/I5,GW1N,GW1N-4,PBGA256,GW1N-4/PBGA256.json
gw1n4-016,GW1N-LV4PG256C5/I4,GW1N,GW1N-4,PBGA256,GW1N-4/PBGA256.json
gw1n4-017,GW1N-LV4PG256MC6/I5,GW1N,GW1N-4,PBGA256M,GW1N-4/PBGA256M.json
gw1n4-018,GW1N-LV4PG256MC5/I4,GW1N,GW1N-4,PBGA256M,GW1N-4/PBGA256M.json
gw1n4-019,GW1N-UV4QN32C6/I5,GW1N,GW1N-4,QFN32,GW1N-4/QFN32.json
gw1n4-020,GW1N-UV4QN32C5/I4,GW1N,GW1N-4,QFN32,GW1N-4/QFN32.json
gw1n4-021,GW1N-UV4QN48C6/I5,GW1N,GW1N-4,QFN48,GW1N-4/QFN48.json
gw1n4-022,GW1N-UV4QN48C5/I4,GW1N,GW1N-4,QFN48,GW1N-4/QFN48.json
gw1n4-023,GW1N-UV4QN88C6/I5,GW1N,GW1N-4,QFN88,GW1N-4/QFN88.json
